pl_rade,pl_bmasse,pl_orbper,pl_orbeccen,pl_insol,pl_eqt,pl_name,habitability_score,cluster
2.213,5.4,11.8728787,0.19,129.1,938.0,Kepler-1655 b,86.94901643277149,0
12.285064,1369.8473,2.5079204,0.0,1330.0,1681.0,Qatar-3 b,79.29784279018082,1
12.44199,4131.79,3650.0,0.0,0.19,183.0,EPIC 248847494 b,35.328204624523536,2
21.196219,915.3504,1.4811235,0.0,44900.0,4050.0,KELT-9 b,32.307195657437624,3
13.64132951,260.61929374,2.9887615,0.0,699.0,1431.0,TOI-2570 b,82.68937898882133,4
3.268,34.9,51.111,0.616,54.3,492.0,Kepler-278 c,77.56836699421147,5
10.4,4386.054,1.4079405,0.0,0.181,163.0,WD 1856+534 b,66.51015259099233,6
1.69,7.9,0.3693038,0.0,4070.0,2223.0,K2-131 b,79.33561344871922,7
1.73,6.9,3.2253993,0.02,116.2,913.0,K2-199 b,88.41843353561615,8
11.67975789,4096.80816623,7.24599,0.325,1192.0,1677.0,TOI-4603 b,65.32006110541208,9
11.825495,56.89157,3.2768837,0.298,387.4,1237.0,HATS-62 b,81.72714357304989,10
17.317905,323.23311,3.308958,0.038,3440.0,2132.0,HD 202772 A b,76.92129579348911,11
11.94877343,1322.16617312,988.88112,0.92,0.342,253.8,Kepler-1704 b,65.30710148385216,12
16.47720163,6261.2196179,1.744579,0.0,4650.0,2300.0,GPX-1 b,54.04946292291307,13
11.72459381,1830.69162432,5.4693827,0.342,25.3,624.0,TOI-2379 b,77.78084961652493,14
12.09449018,835.570882,1.9416423,0.062,129.8,939.8,HATS-76 b,83.97241275609055,15
13.34989601,330.54154328,3.8922295,0.15,1053.0,1585.0,TOI-5181 A b,81.44693798370308,16
10.60369574,130.94530368,3.792622,0.054,38.0,689.0,TOI-5344 b,86.70886315985106,17
1.51,2.3,13.7815,0.017,6.8,410.0,Kepler-138 c,90.04303553735889,18
7.0840758,222.4798849,224.77833,0.176,2.48,352.2,Kepler-111 c,91.01290699812103,19
2.51,5.7,15.92346,0.42,73.7,815.0,HD 135694 b,82.20666295372449,20
12.28504285,731.0053361,56.39879,0.7471,22.3,605.1,TOI-4127 b,72.33419313165632,21
15.513256,4100.007,1.8882378,0.18,9110.0,2730.0,HATS-70 b,60.1585633959554,22
3.42,22.4,2.1097019,0.059,860.0,1395.0,TOI-132 b,85.7492305114501,23
9.180171,158.915,1047.8356,0.26,0.3,206.0,Kepler-1654 b,79.09508533601206,24
2.48,9.4,19.6053,0.28,39.9,699.0,HIP 8152 c,85.96512938884906,25
2.25,6.47,10.054626,0.094,11.6,513.0,K2-3 b,89.3824880937878,26
15.389957,225.34147,2.8641424,0.038,1540.0,1743.0,XO-7 b,80.38159143244619,27
11.59,2493.0,9.485236,0.02,14.28,541.0,TOI-6303 b,77.04136438011246,28
9.86390302,190.6970442,2.262196,0.0,198.0,1043.0,TOI-5300 b,85.91009253442382,29
